instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
prism,dev_algiers,17,7,0.003005466985769742,rem,zne_rem,True,0.00023449992548423847,True,True,0.004901800123743357,0.003005466985769742,rem,zne_rem,True,0.00023449992548423847,True,True,0.004186467292254396
prism,dev_algiers,18,7,0.0037833982046429977,rem,zne_rem,True,0.0016313437970776699,True,True,0.004901800123743357,0.0037833982046429977,rem,zne_rem,True,0.0016313437970776699,True,True,0.004186467292254396
prism,dev_algiers,19,7,0.001835435524603075,rem,zne,True,0.00022385068612317032,True,True,0.004901800123743357,0.001835435524603075,rem,zne,True,0.00022385068612317032,True,True,0.004186467292254396
prism,dev_algiers,20,7,0.0010118372602828955,rem,zne,True,0.0021602749170168373,True,True,0.004901800123743357,0.0010118372602828955,rem,zne,True,0.0021602749170168373,True,True,0.004186467292254396
prism,dev_algiers,21,7,0.0019218138458545926,rem,zne_rem,True,4.451958070162523e-05,True,True,0.004901800123743357,0.0019218138458545926,rem,zne_rem,True,4.451958070162523e-05,True,True,0.004186467292254396
prism,dev_algiers,22,7,0.0043365131344612114,rem,zne,True,0.0004509245742285365,True,True,0.004901800123743357,0.0043365131344612114,rem,zne,True,0.0004509245742285365,True,True,0.004186467292254396
prism,dev_algiers,23,7,0.0024271251075608214,rem,zne_rem,True,0.00038969459195439755,True,True,0.004901800123743357,0.0024271251075608214,rem,zne_rem,True,0.00038969459195439755,True,True,0.004186467292254396
prism,dev_algiers,24,7,0.0019782436508803372,rem,zne_rem,True,0.000696191130504315,True,True,0.004901800123743357,0.0019782436508803372,rem,zne_rem,True,0.000696191130504315,True,True,0.004186467292254396
prism,dev_algiers,25,7,0.0026521102987882386,rem,zne_rem,True,0.0005827545426075524,True,True,0.004901800123743357,0.0026521102987882386,rem,zne_rem,True,0.0005827545426075524,True,True,0.004186467292254396
prism,dev_algiers,26,7,0.0034063334816730262,rem,zne_rem,True,0.0013887575667667323,True,True,0.004901800123743357,0.0034063334816730262,rem,zne_rem,True,0.0013887575667667323,True,True,0.004186467292254396
